number,diameter,height,double height,weight
201002,233.0,78.0,156.0,4.83
201003,261.0,96.5,193.0,4.13
201005,239.0,45.0,90.0,3.42
201006,261.0,70.0,140.0,4.56
201007,250.5,20.5,41.0,3.24
201008,249.7,99.0,198.0,4.5
201009,238.0,45.9,91.8,3.8
201011,239.0,46.0,92.0,4.25
201012,269.0,96.4,192.8,6.06
201013,250.2,20.5,41.0,3.17
201014,281.0,43.5,87.0,6.86
201015,261.0,98.0,196.0,4.61
201017,280.7,44.7,89.4,5.98
201018,310.0,47.3,94.6,8.4
201019,283.8,39.3,78.6,6.06
201020,240.1,40.0,80.0,5.45
201021,276.0,45.5,91.0,4.08
201022,305.3,39.7,79.4,7.67
201023,330.0,39.7,79.4,9.9
201024,278.0,43.2,86.4,4.71
201025,292.0,43.2,86.4,6.31
201028,251.0,40.7,81.4,3.41
201029,305.0,44.8,89.6,8.3
201030,305.3,39.7,79.4,7.7
201031,330.2,39.8,79.6,9.9
201032,278.0,43.2,86.4,4.7
201033,292.0,43.2,86.4,6.6
201034,281.0,39.7,79.4,6.7
201035,263.9,40.5,81.0,3.5
201212,240.0,43.2,86.4,4.49
201214,213.3,61.2,122.4,3.1
201215,239.8,32.5,65.0,4.03
201216,264.0,25.6,51.2,6.4
201217,278.0,67.7,135.4,8.4
201218,295.0,67.8,135.6,9.1
201219,283.7,60.4,120.8,7.25
201220,291.2,67.0,134.0,11.0
201221,305.0,67.9,135.8,6.74
201222,305.0,49.5,99.0,11.0
201223,300.4,42.8,85.6,10.7
201224,288.0,32.5,65.0,5.38
201225,354.7,48.2,96.4,0.0
201226,326.0,46.2,92.4,0.0
201401,251.0,33.7,67.4,4.07
201402,251.0,33.5,67.0,4.3
201403,265.0,47.2,94.4,4.2
201404,280.0,40.0,80.0,6.895
201501,254.7,75.5,151.0,5.14
201503,272.0,61.5,123.0,4.125
201509,260.0,35.2,70.4,5.07
201510,257.8,60.1,120.2,4.04
2015100,284.0,73.3,146.6,6.39
2015101,299.8,73.2,146.4,7.455
2015102,289.8,66.2,132.4,4.86
2015104,327.8,73.0,146.0,10.346
2015105,329.9,71.0,142.0,7.442
2015106,323.8,67.2,134.4,7.76
201511,279.8,78.1,156.2,5.7
2015113,294.0,45.2,90.4,6.55
2015114,299.9,76.1,152.2,6.55
2015115,330.0,45.2,90.4,9.13
2015116,294.0,45.2,90.4,6.26
2015117,300.0,50.6,101.2,5.46
2015118,307.0,45.2,90.4,7.78
2015119,280.0,50.5,101.0,4.06
201512,283.8,76.1,152.2,5.31
201513,283.8,76.0,152.0,6.0
201514,284.0,61.0,122.0,4.56
201515,282.0,76.0,152.0,6.42
201516,260.0,35.0,70.0,4.55
201518,302.0,76.1,152.2,6.4
201519,302.0,76.1,152.2,7.54
201520,300.0,61.1,122.2,5.1
201521,286.0,51.6,103.2,6.15
201522,299.7,68.0,136.0,5.25
201523,299.7,68.2,136.4,5.8
201524,285.4,51.7,103.4,5.2
201525,280.0,60.0,120.0,4.46
201526,302.0,76.0,152.0,8.135
201527,282.0,76.0,152.0,6.5
201528,280.0,78.1,156.2,6.495
201529,284.0,68.0,136.0,4.625
201530,299.8,68.0,136.0,6.25
201532,323.8,77.1,154.2,10.5
201533,323.9,61.1,122.2,6.7
201534,315.9,77.1,154.2,8.65
201535,275.8,60.0,120.0,5.36
201536,295.8,76.0,152.0,7.5
201537,298.0,61.0,122.0,5.0
201538,272.0,78.0,156.0,4.38
201539,297.8,61.1,122.2,5.68
201540,299.8,51.6,103.2,7.05
201541,294.0,59.5,119.0,6.25
201542,333.8,77.1,154.2,11.12
201543,324.7,52.7,105.4,8.8
201544,324.0,73.8,147.6,10.6
201545,320.0,60.4,120.8,7.44
201546,272.0,83.0,166.0,4.74
201547,331.6,61.9,123.8,11.04
201548,323.8,80.0,160.0,6.76
201551,295.9,55.1,110.2,7.3
201552,299.8,95.1,190.2,5.68
201553,309.8,77.1,154.2,8.12
201554,283.9,73.0,146.0,6.29
201555,291.8,73.0,146.0,6.98
201556,295.8,65.1,130.2,4.86
201557,279.8,65.0,130.0,4.42
201558,299.9,66.1,132.2,6.29
201559,324.0,80.9,161.8,10.71
201560,347.9,80.9,161.8,11.57
201561,320.0,63.5,127.0,7.38
201562,328.0,61.0,122.0,7.39
201563,324.0,77.1,154.2,10.4
201564,324.8,62.1,124.2,8.95
201565,320.0,79.6,159.2,8.16
